date,strategy,return,long_count,short_count,market_ret,cum_return
2021-10-15,long_short,-9.628385305404663e-05,30,30,0.0008149892,1.0
2021-10-18,long_short,0.012463567778468132,30,30,-0.002065875,1.0124635677784681
2021-10-19,long_short,-0.006980866193771362,30,30,0.008453239,1.0053956950857383
2021-10-20,long_short,-0.002031200099736452,30,30,-0.004843049,1.0033535352496057
2021-10-21,long_short,0.0026807333342731,30,30,0.0007645058,1.00604325851761
2021-10-22,long_short,-0.007225516252219677,30,30,-0.000635009,0.9987740766027549
2021-10-25,long_short,0.005326332990080118,30,30,0.0065538688,1.004093879916601
2021-10-26,long_short,0.0030866002198308706,30,30,-0.00058443897,1.0071931163070824
2021-10-27,long_short,-0.000992216751910746,30,30,-0.013263796,1.0061937624246733
2021-10-28,long_short,-0.004872417077422142,30,30,-0.010972146,1.0012911667534397
2021-10-29,long_short,-0.00431806664748971,30,30,0.010102706,0.9969675247618556
2021-11-01,long_short,0.004930166993290186,30,30,0.0009869506,1.0018827411458187
2021-11-02,long_short,0.004197533242404461,30,30,-0.008444346,1.0060881772567696
2021-11-03,long_short,0.001482416526414454,30,30,0.0037804593,1.007579618997765
2021-11-04,long_short,-0.0012493499484844508,30,30,0.006766735,1.0063207994526762
2021-11-05,long_short,0.010216299444437027,30,30,-0.008493657,1.0166016740770498
2021-11-08,long_short,-0.00424646632745862,30,30,0.0016542414,1.0122847092996436
2021-11-09,long_short,-0.005388466641306877,30,30,0.0014769738,1.0068300469120774
2021-11-10,long_short,0.006426416337490082,30,30,-0.003548148,1.0133003559746292
2021-11-11,long_short,0.001274700052066085,30,30,0.013065011,1.0145920099911487
2021-11-12,long_short,-0.00941699929535389,30,30,-6.344488e-05,1.0050375977479904
2021-11-15,long_short,0.015047100372612476,30,30,-6.370056e-05,1.0201604993595537
2021-11-16,long_short,-0.00013098340559129922,30,30,-0.0030248952,1.0200268752630979
2021-11-17,long_short,-0.00555636640638113,30,30,0.003971064,1.01435923219978
2021-11-18,long_short,-0.005908249877393246,30,30,-0.007872364,1.008366144390503
2021-11-19,long_short,-0.00301618335787983,30,30,0.010860701,1.0053247272071428
2021-11-22,long_short,-0.002116800518706441,30,30,0.004545951,1.0031966553031224
2021-11-23,long_short,-0.0006124666542746127,30,30,0.0014917094,1.0025822308040693
2021-11-24,long_short,0.004347050096839666,30,30,-0.0009786822,1.0069405059875758
2021-11-25,long_short,-0.0048478832468390465,30,30,-0.002471376,1.0020589759780352
2021-11-26,long_short,-0.003167066490277648,30,30,-0.008356015,0.9988853885739332
2021-11-29,long_short,-0.007885833270847797,30,30,-0.004336886,0.9910083449429531
2021-11-30,long_short,0.0007271168287843466,30,30,0.000898266,0.9917289237880268
2021-12-01,long_short,0.00037388340570032597,30,30,0.0041631754,0.9920997147755842
2021-12-02,long_short,-0.0021242000302299857,30,30,0.0010684023,0.9899922965314668
2021-12-03,long_short,1.0266442586726043e-05,30,30,0.011159446,0.9900024602305404
2021-12-06,long_short,0.005209316965192556,30,30,-0.003280493,0.9951596968422017
2021-12-07,long_short,0.006016350816935301,30,30,0.005672052,1.0011469266972794
2021-12-08,long_short,0.0038973004557192326,30,30,0.012913495,1.0050486970709387
2021-12-09,long_short,0.00782786589115858,30,30,0.015413262,1.0129160834856936
2021-12-10,long_short,-0.008104999549686909,30,30,-0.005858431,1.0047063990851717
2021-12-13,long_short,0.0029259331058710814,30,30,0.0045738984,1.0076461027999355
2021-12-14,long_short,-0.000977406627498567,29,30,-0.007895359,1.0066612228208858
2021-12-15,long_short,0.0024174239952117205,29,30,-0.0056033507,1.0090947498159824
2021-12-16,long_short,-0.0009813560172915459,29,30,0.007305119,1.008104468611233
2021-12-17,long_short,-0.0007275252719409764,29,30,-0.012292208,1.0073710471335617
2021-12-20,long_short,-0.0015086779603734612,29,30,-0.014575524,1.0058512486368332
2021-12-21,long_short,0.007884304970502853,29,30,0.010106029,1.013781686636047
2021-12-22,long_short,-0.0011803897796198726,29,30,0.002519343,1.0125850290943759
2021-12-23,long_short,0.0009844070300459862,29,30,0.0046780724,1.0135818249155357
2021-12-24,long_short,0.0045026615262031555,29,30,-0.0050856085,1.0181456408022418
2021-12-27,long_short,-0.004802865441888571,29,30,0.002406255,1.013255624289223
2021-12-28,long_short,-0.001919338945299387,29,30,0.0041663074,1.011310843307981
2021-12-29,long_short,-0.0022815761622041464,29,30,-0.008034295,1.009003460595311
2021-12-30,long_short,0.0028844745829701424,29,30,0.0070167226,1.0119139054315271
2021-12-31,long_short,-0.0033487293403595686,29,30,0.0067118574,1.0085252796464907
2022-01-04,long_short,0.0034401328302919865,30,30,-0.0014309334,1.011994740571182
2022-01-05,long_short,0.0025247831363230944,30,30,-0.0106766205,1.0145498078262238
2022-01-06,long_short,0.005804433487355709,30,30,-0.004628255,1.0204386947053607
2022-01-07,long_short,0.008706317283213139,30,30,-0.001105487,1.0293229577495333
2022-01-10,long_short,0.0027720166835933924,30,30,0.005501073,1.0321762581612208
2022-01-11,long_short,0.003880500327795744,30,30,-0.0096674645,1.0361816184693584
2022-01-12,long_short,-0.0035446833353489637,30,30,0.007969012,1.0325086827539751
2022-01-13,long_short,-0.0009489667136222124,30,30,-0.014921119,1.0315288663825155
2022-01-14,long_short,0.00031450047390535474,30,30,-0.008069069,1.03185328269984
2022-01-17,long_short,-0.0028383168391883373,30,30,0.008715484,1.0289245561519813
2022-01-18,long_short,0.0066879671066999435,30,30,0.008835168,1.0358059697388016
2022-01-19,long_short,0.007172483019530773,30,30,-0.007198471,1.0432352704682817
2022-01-20,long_short,-0.0012421164428815246,30,30,0.0014007266,1.0419394507850392
2022-01-21,long_short,-0.0024628667160868645,30,30,-0.012556223,1.039373292791523
2022-01-24,long_short,0.006607916671782732,30,30,0.0016981892,1.0462413849011658
2022-01-25,long_short,-0.0035204170271754265,30,30,-0.02643077,1.0425581789152243
2022-01-26,long_short,-0.003106799442321062,30,30,0.0065575084,1.0393191597463833
2022-01-27,long_short,0.0013740833689613887,30,30,-0.021658495,1.0407472709188337
2022-01-28,long_short,0.0010400832397863269,30,30,-0.008426354,1.0418297347121699
2022-02-07,long_short,-0.01747618344752118,30,30,0.016812488,1.0236225271472577
2022-02-08,long_short,-0.008455466479063034,30,30,0.0030835858,1.0149673211817503
2022-02-09,long_short,0.002577950479462743,30,30,0.009910348,1.0175838566740296
2022-02-10,long_short,0.001055049942806363,30,30,0.00064114487,1.0186574584638144
2022-02-11,long_short,-0.0023609833116643125,30,30,-0.01111412,1.0162524252040788
