date,strategy,return,long_count,short_count,market_ret,cum_return
2021-10-15,long_only,0.0011454998748376966,30,30,0.0008149892,1.0
2021-10-18,long_only,0.011318666860461235,30,30,-0.002065875,1.0113186668604612
2021-10-19,long_only,-0.001948299934156239,30,30,0.008453239,1.0093483147684061
2021-10-20,long_only,-0.011066168546676636,30,30,-0.004843049,0.9981786961948749
2021-10-21,long_only,0.009032168425619602,30,30,0.0007645058,1.0071944142977722
2021-10-22,long_only,-0.013517099432647228,30,30,-0.000635009,0.9935800672517024
2021-10-25,long_only,0.011998468078672886,30,30,0.0065538688,1.0055015059722276
2021-10-26,long_only,0.0005001335521228611,30,30,-0.00058443897,1.0060043910120742
2021-10-27,long_only,-0.01880199834704399,30,30,-0.013263796,0.9870894981151462
2021-10-28,long_only,-0.016573766246438026,30,30,-0.010972146,0.970729707509072
2021-10-29,long_only,0.006182133220136166,30,30,0.010102706,0.9767308878816369
2021-11-01,long_only,0.002632533200085163,30,30,0.0009869506,0.979302164371534
2021-11-02,long_only,-0.0020118330139666796,30,30,-0.008444346,0.9773319719466023
2021-11-03,long_only,0.009445132687687874,30,30,0.0037804593,0.9865630021015576
2021-11-04,long_only,0.012159434147179127,30,30,0.006766735,0.9985590499576549
2021-11-05,long_only,-0.0034187992569059134,30,30,-0.008493657,0.995145177019683
2021-11-08,long_only,-0.003691333346068859,30,30,0.0016542414,0.9914717644435707
2021-11-09,long_only,-0.0039391000755131245,30,30,0.0014769738,0.9875662579413818
2021-11-10,long_only,-0.002293432829901576,30,30,-0.003548148,0.9853013410637159
2021-11-11,long_only,0.015968866646289825,30,30,0.013065011,1.0010354867855729
2021-11-12,long_only,0.00047106677084229887,30,30,-6.344488e-05,1.0015070413398315
2021-11-15,long_only,0.009686866775155067,30,30,-6.370056e-05,1.01120850662367
2021-11-16,long_only,-0.004556533880531788,30,30,-0.0030248952,1.0066009008029575
2021-11-17,long_only,0.004371700342744589,30,30,0.003971064,1.0110014583060047
2021-11-18,long_only,-0.010984900407493114,30,30,-0.007872364,0.999895707974683
2021-11-19,long_only,0.008920065127313137,30,30,0.010860701,1.008814842810338
2021-11-22,long_only,0.004703066311776638,30,30,0.004545951,1.0135593659123796
2021-11-23,long_only,0.0015074332477524877,30,30,0.0014917094,1.0150872389991268
2021-11-24,long_only,-0.0011495666112750769,30,30,-0.0009786822,1.013920328601642
2021-11-25,long_only,-0.010655500926077366,30,30,-0.002471376,1.0031164996012585
2021-11-26,long_only,-0.011602966114878654,30,30,-0.008356015,0.9914773728471095
2021-11-29,long_only,-0.009057032875716686,30,30,-0.004336886,0.9824975296857039
